experiment,controller_group,model,gpu,prefix_cache,run,phase,health_status,duration_s,windows,offered_mbps,delivered_mbps,access_rx_packets,core_tx_packets,app_qer_red_packets,policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,oscillation_count,mean_llm_latency_ms,mean_total_tokens,notes,source_campaign
e2_threshold,baseline,,,,run_04,A,OK,85.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_04,B,WARN,85.0,,941.6936618666667,507.7232466666667,34284964.0,22399555.0,9485574,0.27666863750151927,0,0,0,661,0,,,,,,,"tiny NIC drops n3_rx=661, n6_tx=0, rate=0.000012",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_04,C,OK,84.0,,1098.6640024,574.6033773333334,39999903.0,25350149.0,11312842,0.2828217358427094,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_04,D,OK,84.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_05,A,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_05,B,OK,84.0,,941.7118173333333,507.7323813333333,34285625.0,22399958.0,9485739,0.2766681160593723,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_05,C,OK,85.0,,1098.6640024,574.5563666666666,39999903.0,25348075.0,11314733,0.28286901095735156,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_05,D,OK,84.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_06,A,OK,84.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_06,B,WARN,85.0,,941.7051864,507.7255813333333,34285383.0,22399658.0,9485884,0.2766742900319941,0,0,0,241,0,,,,,,,"tiny NIC drops n3_rx=241, n6_tx=0, rate=0.000004",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
